MYCT ,CHMIN,CHMAX,PRP,ERP
0.072825354012138,0.307692307692308,0.727272727272727,0.167832167832168,0.150449713818479
0.008091706001349,0.153846153846154,0.181818181818182,0.229895104895105,0.19460343417825
0.008091706001349,0.153846153846154,0.181818181818182,0.187062937062937,0.19460343417825
0.008091706001349,0.153846153846154,0.181818181818182,0.145104895104895,0.19460343417825
0.008091706001349,0.153846153846154,0.090909090909091,0.11013986013986,0.095666394112837
0.006068779501011,0.153846153846154,0.181818181818182,0.272727272727273,0.224856909239575
0.004045853000674,0.307692307692308,0.181818181818182,0.315559440559441,0.29926410466067
0.004045853000674,0.307692307692308,0.181818181818182,0.422202797202797,0.29926410466067
0.004045853000674,0.307692307692308,0.181818181818182,0.550699300699301,0.600163532297629
0.004045853000674,0.615384615384615,0.363636363636364,0.994755244755245,1
0.25826028320971,0.019230769230769,0.011363636363636,0.027972027972028,0.006541291905151
0.25826028320971,0.019230769230769,0.034090909090909,0.02972027972028,0.007358953393295
0.028995279838166,0.019230769230769,0.045454545454546,0.075174825174825,0.044971381847915
0.022252191503709,0.019230769230769,0.045454545454546,0.115384615384615,0.083401471790679
0.224544841537424,0.019230769230769,0.022727272727273,0.003496503496504,0
0.123398516520566,0.076923076923077,0.181818181818182,0.02534965034965,0.040065412919052
0.101146325016858,0.076923076923077,0.085227272727273,0.011363636363636,0.006541291905151
0.084962913014161,0.134615384615385,0.181818181818182,0.019230769230769,0.011447260834015
0.084962913014161,0.096153846153846,0.090909090909091,0.021853146853147,0.005723630417007
0.062710721510452,0.153846153846154,0.363636363636364,0.09965034965035,0.089125102207686
0.084962913014161,0.096153846153846,0.181818181818182,0.020979020979021,0.016353229762878
0.084962913014161,0.096153846153846,0.113636363636364,0.023601398601399,0.019623875715454
0.084962913014161,0.115384615384615,0.363636363636364,0.048076923076923,0.020441537203598
0.062710721510452,0.115384615384615,0.363636363636364,0.061188811188811,0.024529844644317
0.204315576534053,0.019230769230769,0.068181818181818,0.01486013986014,0.010629599345871
0.204315576534053,0.019230769230769,0.017045454545455,0.05506993006993,0.004905968928863
0.204315576534053,0.019230769230769,0.034090909090909,0.023601398601399,0.010629599345871
0.204315576534053,0.019230769230769,0.017045454545455,0.018356643356643,0.005723630417007
0.204315576534053,0.019230769230769,0.028409090909091,0.062062937062937,0.010629599345871
0.204315576534053,0.019230769230769,0.034090909090909,0.018356643356643,0.009811937857727
0.005394470667566,0.230769230769231,0.136363636363636,0.234265734265734,0.07113654946852
0.005394470667566,0.230769230769231,0.136363636363636,0.316433566433566,0.07113654946852
