X,1th,day,FFMC,DMC,temp,wind,rain,area
0.375,0.1,0.833333333333333,0.638709677419355,0.070296347346658,0.42443729903537,0.255555555555556,0,0
0.375,0.2,0,0.883870967741935,0.078566505858029,0.379421221864952,0.3,0,0
0.375,0.2,1,0.910967741935484,0.172984148862853,0.270096463022508,0.5,0,0
0.375,0.8,0.5,0.967741935483871,0.274982770503101,0.495176848874598,0.3,0,0
0.25,0.2,0.166666666666667,0.895483870967742,0.084769124741558,0.408360128617363,0.255555555555556,0,0
0.25,0.7,0.833333333333333,0.965161290322581,0.476567884217781,0.495176848874598,0.6,0,0
0.25,0.8,1,0.950967741935484,0.423845623707788,0.482315112540193,0.1,0,0
0.25,0.8,0,0.931612903225806,0.432115782219159,0.430868167202572,0.3,0,0
1,0.6,0.166666666666667,0.865806451612903,0.162646450723639,0.508038585209003,0.255555555555556,0,0.043953890607561
0,0.8,0.166666666666667,0.932903225806452,0.442453480358374,0.627009646302251,0.2,0,0.051128343652644
0.125,0.8,0,0.931612903225806,0.432115782219159,0.633440514469453,0.155555555555556,0,0.055071948078844
0,0.7,0.333333333333333,0.990967741935484,0.340454858718125,0.678456591639872,0.455555555555555,0,0.06264704978219
0.875,0.7,0.666666666666667,0.921290322580645,0.368366643694004,0.610932475884244,0.944444444444444,0,0.068076053944623
0,0.6,0.833333333333333,0.92,0.172984148862853,0.463022508038585,0.555555555555556,0,0.076689900143351
0.125,0.7,0.333333333333333,0.990967741935484,0.340454858718125,0.694533762057878,0.555555555555556,0,0.081619581560825
0.625,0.7,0.5,0.987096774193548,0.450034458993797,0.810289389067524,0.4,0,0.091750827023213
0.5,0.2,0,0.921290322580645,0.133011716057891,0.353697749196141,0.555555555555556,0,0.09546393433809
0.875,0.8,0.166666666666667,0.847741935483871,0.249138525155066,0.707395498392283,0.355555555555556,0,0.096195120557561
0.125,0.7,0.166666666666667,0.981935483870968,0.369400413507926,0.488745980707396,0.7,0,0.104000595548856
0.875,0.8,0.5,0.967741935483871,0.274982770503101,0.691318327974277,0.455555555555555,0,0.107412370728842
0.625,0.5,0.666666666666667,0.952258064516129,0.190558235699518,0.67524115755627,0.555555555555556,0,0.112056055903838
1,0.6,1,0.921290322580645,0.232598208132323,0.726688102893891,0.2,0,0.122742754039543
0.25,0.6,0.833333333333333,0.921290322580645,0.172639558924879,0.720257234726688,0.155555555555556,0,0.12692103128731
